date,film_id,user_id,rate
2005-12-10,10378,1581453,4
2005-12-10,10378,1077686,1
2005-12-10,10378,1057564,2
2005-12-10,10379,516672,4
2005-12-10,10379,1323479,4
2005-12-10,10379,528399,4
2005-12-10,10379,1361545,3
2005-12-10,10379,292470,4
2005-12-10,10379,2001099,4
2005-12-10,10379,2368098,3
2005-12-10,10379,2464097,4
2005-12-10,10379,297246,5
2005-12-10,10379,1843360,4
2005-12-10,10379,468602,3
2005-12-10,10379,2063458,4
2005-12-10,10379,1173870,4
2005-12-10,10379,2322865,5
2005-12-10,10380,1377881,3
2005-12-10,10382,488083,3
2005-12-10,10382,208870,4
2005-12-10,10382,1047076,1
2005-12-10,10382,2494071,4
2005-12-10,10382,1934002,1
2005-12-10,10383,1600015,4
2005-12-10,10389,1997987,3
2005-12-10,10390,1107588,4
2005-12-10,10390,2081789,4
2005-12-10,10392,1300124,2
2005-12-10,10392,516672,3
2005-12-10,10392,1927647,2
2005-12-10,10392,332627,2
2005-12-10,10392,2021871,2
2005-12-10,10392,369800,2
2005-12-10,10392,546619,5
2005-12-10,10392,1934002,3
2005-12-10,10392,460494,5
2005-12-10,10392,2420001,5
2005-12-10,10392,185372,3
2005-12-10,10395,867311,4
2005-12-10,10397,631747,3
2005-12-10,10397,2609905,4
2005-12-10,10397,323086,3
2005-12-10,10398,293284,1
2005-12-10,10401,1126470,5
2005-12-10,10402,2464892,1
2005-12-10,10403,362038,3
2005-12-10,10406,520706,5
2005-12-10,10406,1934002,3
2005-12-10,10406,1544865,5
2005-12-10,10407,1293953,4
2005-12-10,10407,1612901,3
2005-12-10,10407,2322865,1
2005-12-10,10411,587590,3
2005-12-10,10412,332627,2
2005-12-10,10412,180699,3
2005-12-10,10413,1267957,3
2005-12-10,10413,1047076,3
2005-12-10,10413,2527135,3
2005-12-10,10417,1787989,5
2005-12-10,10418,997813,5
2005-12-10,10418,2087760,1
2005-12-10,10418,226983,3
2005-12-10,10418,292470,4
2005-12-10,10418,59542,5
2005-12-10,10418,1655790,5
2005-12-10,10418,2378059,5
2005-12-10,10418,1395127,5
2005-12-10,10418,1969199,3
2005-12-10,10418,1541575,4
2005-12-10,10418,1438876,3
2005-12-10,10418,852961,5
2005-12-10,10420,600469,5
2005-12-10,10420,847126,4
2005-12-10,10420,575207,5
2005-12-10,10420,302194,4
2005-12-10,10420,1387163,5
2005-12-10,10420,512782,5
2005-12-10,10420,2021871,3
2005-12-10,10420,1594837,3
2005-12-10,10420,520706,4
2005-12-10,10420,1741290,4
2005-12-10,10420,1713604,5
2005-12-10,10420,2325176,2
2005-12-10,10420,1957631,4
2005-12-10,10420,1174777,5
2005-12-10,10420,280137,5
2005-12-10,10421,425459,5
2005-12-10,10421,336067,3
2005-12-10,10421,715782,1
2005-12-10,10421,2484302,2
2005-12-10,10421,2365686,4
2005-12-10,10421,897502,3
2005-12-10,10421,2324645,1
2005-12-10,10421,875273,4
2005-12-10,10421,1073522,3
2005-12-10,10421,2497498,2
2005-12-10,10422,1604595,5
2005-12-10,10422,2043579,3
2005-12-10,10422,649899,4
2005-12-10,10422,587590,3
2005-12-10,10423,1848739,4
2005-12-10,10423,447339,4
2005-12-10,10423,315570,4
2005-12-10,10423,486317,5
2005-12-10,10423,2021871,4
2005-12-10,10423,546619,3
2005-12-10,10423,1934002,3
2005-12-10,10424,108374,4
2005-12-10,10424,1323479,5
2005-12-10,10424,1414832,4
2005-12-10,10424,473296,3
2005-12-10,10424,1452127,4
2005-12-10,10424,2457659,5
2005-12-10,10424,558658,4
2005-12-10,10424,2457662,3
2005-12-10,10424,1756513,4
2005-12-10,10424,2364377,4
2005-12-10,10424,2395073,5
2005-12-10,10424,819404,3
2005-12-10,10424,440463,3
2005-12-10,10424,164358,4
2005-12-10,10424,1990869,4
2005-12-10,10424,1256620,4
2005-12-10,10424,1960430,4
2005-12-10,10424,2389860,5
2005-12-10,10424,2465482,3
2005-12-10,10424,2420083,5
2005-12-10,10424,1843360,4
2005-12-10,10424,1934002,4
2005-12-10,10424,62512,4
2005-12-10,10424,351104,4
2005-12-10,10424,400468,4
2005-12-10,10424,1331403,4
2005-12-10,10424,1616888,3
2005-12-10,10424,971748,3
2005-12-10,10424,2391773,2
2005-12-10,10424,1877590,4
2005-12-10,10424,1635381,3
2005-12-10,10424,2564666,1
2005-12-10,10424,42902,3
2005-12-10,10425,1655790,4
2005-12-10,10425,1772737,3
2005-12-10,10426,1079045,5
2005-12-10,10426,287934,4
2005-12-10,10426,136085,5
2005-12-10,10426,2121828,4
2005-12-10,10426,2066490,1
2005-12-10,10426,2107680,4
2005-12-10,10426,345510,5
2005-12-10,10426,1934002,3
2005-12-10,10426,951402,4
2005-12-10,10426,1826722,3
2005-12-10,10426,2566514,3
